,cpu_load
120,0.21405555575000002
121,0.34641666675
122,0.34322222225
123,0.3026944445
124,0.3640277775
125,0.40275
126,0.3563055555
127,0.14777777775
128,0.421611111
129,0.35277777774999997
130,0.2519444445
131,0.33030555575
132,0.299611111
133,0.33802777775000004
134,0.18022222225
135,0.37213888875
136,0.34713888875
137,0.32938888925
138,0.27402777775
139,0.22705555524999999
140,0.3045
141,0.24288888900000002
142,0.25911111125
143,0.3430555555
144,0.364
145,0.2424444445
146,0.28477777775
147,0.32866666675
148,0.36713888875
149,0.27411111125
150,0.2661666665
151,0.2759166665
152,0.23811111125
153,0.31991666674999997
154,0.2595277775
155,0.572611111
156,0.248277778
157,0.259611111
158,0.22911111125
159,0.226611111
160,0.2815833335
161,0.248888889
162,0.42375000025
163,0.29183333325
164,0.248
165,0.21966666675000002
166,0.22863888875
167,0.33430555575
168,0.297777778
169,0.20883333325
170,0.38966666675
171,0.24761111125
172,0.23019444449999998
173,0.220972222
174,0.1734444445
175,0.24805555575
176,0.2115555555
177,0.27900000025
178,0.2399722225
179,0.23825
180,0.22816666675
181,0.1875
182,0.2396944445
183,0.26672222225
184,0.27038888875
185,0.26772222225
186,0.2221944445
187,0.22338888875000001
188,0.20736111125
189,0.26466666650000004
190,0.26972222225
191,0.3223333335
192,0.23999999975
193,0.25858333325
194,0.23797222225
195,0.213472222
196,0.2327777775
197,0.48238888875
198,0.18266666650000002
199,0.20738888875
200,0.22438888875000002
201,0.221861111
202,0.201138889
203,0.1619444445
204,0.39686111125
205,0.1914444445
206,0.188111111
207,0.186361111
208,0.26052777775
209,0.1707222225
210,0.15058333325
211,0.302861111
212,0.215138889
213,0.28841666675
214,0.25830555575
215,0.27977777775
216,0.2969444445
217,0.25513888900000004
218,0.26861111125000003
219,0.25247222225
220,0.23013888924999998
221,0.25047222225
222,0.28922222225
223,0.31666666649999997
224,0.2729444445
225,0.28183333325000004
226,0.2740555555
227,0.29269444425
228,0.2475833335
229,0.32647222225
230,0.3459444445
231,0.22925
232,0.228111111
233,0.2641666665
234,0.313611111
235,0.36708333325
236,0.378277778
237,0.3826111115
238,0.3481666665
239,0.23713888900000002
240,0.2986944445
241,0.35341666675
242,0.42213888875
243,0.40594444425
244,0.39272222225
245,0.41144444425
246,0.22377777775
247,0.31558333325
248,0.343472222
249,0.53247222225
250,0.36586111125
251,0.48527777775000003
252,0.5075
253,0.23869444475
254,0.5483333335
255,0.49063888874999995
256,0.568138889
257,0.5836944445000001
258,0.586416667
259,0.5332222225000001
260,0.2240555555
261,0.49388888875
262,0.4933055555
263,0.49655555575
264,0.45147222225
265,0.4985833335
266,0.52561111125
267,0.22427777775000002
268,0.45569444425
269,0.45036111125
270,0.47811111100000003
271,0.40866666675
272,0.41002777775
273,0.40266666675
274,0.18124999975
275,0.4345555555
276,0.430888889
277,0.40769444450000003
278,0.41708333325
279,0.53461111125
280,0.39375
281,0.17825
282,0.4559722225
283,0.359888889
284,0.33527777775
285,0.3803055555
286,0.38875000025
287,0.384472222
288,0.21405555575000002
289,0.34641666675
290,0.34322222225
291,0.3026944445
292,0.3640277775
293,0.40275
294,0.3563055555
295,0.14777777775
296,0.421611111
297,0.35277777774999997
298,0.2519444445
299,0.33030555575
300,0.299611111
301,0.33802777775000004
302,0.18022222225
303,0.37213888875
304,0.34713888875
305,0.32938888925
306,0.27402777775
307,0.22705555524999999
308,0.3045
309,0.24288888900000002
310,0.25911111125
311,0.3430555555
312,0.364
313,0.2424444445
314,0.28477777775
315,0.32866666675
316,0.36713888875
317,0.27411111125
318,0.2661666665
319,0.2759166665
320,0.23811111125
321,0.31991666674999997
322,0.2595277775
323,0.572611111
324,0.248277778
325,0.259611111
326,0.22911111125
327,0.226611111
328,0.2815833335
329,0.248888889
330,0.42375000025
331,0.29183333325
332,0.248
333,0.21966666675000002
334,0.22863888875
335,0.33430555575
336,0.297777778
337,0.20883333325
338,0.38966666675
339,0.24761111125
340,0.23019444449999998
341,0.220972222
342,0.1734444445
343,0.24805555575
344,0.2115555555
345,0.27900000025
346,0.2399722225
347,0.23825
348,0.22816666675
349,0.1875
350,0.2396944445
351,0.26672222225
352,0.27038888875
353,0.26772222225
354,0.2221944445
355,0.22338888875000001
356,0.20736111125
357,0.26466666650000004
358,0.26972222225
359,0.3223333335
360,0.23999999975
361,0.25858333325
362,0.23797222225
363,0.213472222
364,0.2327777775
365,0.48238888875
366,0.18266666650000002
367,0.20738888875
368,0.22438888875000002
369,0.221861111
370,0.201138889
371,0.1619444445
372,0.39686111125
373,0.1914444445
374,0.188111111
375,0.186361111
376,0.26052777775
377,0.1707222225
378,0.15058333325
379,0.302861111
380,0.215138889
381,0.28841666675
382,0.25830555575
383,0.27977777775
384,0.2969444445
385,0.25513888900000004
386,0.26861111125000003
387,0.25247222225
388,0.23013888924999998
389,0.25047222225
390,0.28922222225
391,0.31666666649999997
392,0.2729444445
393,0.28183333325000004
394,0.2740555555
395,0.29269444425
396,0.2475833335
397,0.32647222225
398,0.3459444445
399,0.22925
400,0.228111111
401,0.2641666665
402,0.313611111
403,0.36708333325
404,0.378277778
405,0.3826111115
406,0.3481666665
407,0.23713888900000002
408,0.2986944445
409,0.35341666675
410,0.42213888875
411,0.40594444425
412,0.39272222225
413,0.41144444425
414,0.22377777775
415,0.31558333325
416,0.343472222
417,0.53247222225
418,0.36586111125
419,0.48527777775000003
420,0.5075
421,0.23869444475
422,0.5483333335
423,0.49063888874999995
424,0.568138889
425,0.5836944445000001
426,0.586416667
427,0.5332222225000001
428,0.2240555555
429,0.49388888875
430,0.4933055555
431,0.49655555575
432,0.45147222225
433,0.4985833335
434,0.52561111125
435,0.22427777775000002
436,0.45569444425
437,0.45036111125
438,0.47811111100000003
439,0.40866666675
440,0.41002777775
441,0.40266666675
442,0.18124999975
443,0.4345555555
444,0.430888889
445,0.40769444450000003
446,0.41708333325
447,0.53461111125
448,0.39375
449,0.17825
450,0.4559722225
451,0.359888889
452,0.33527777775
453,0.3803055555
454,0.38875000025
455,0.384472222
456,0.21405555575000002
457,0.34641666675
458,0.34322222225
459,0.3026944445
460,0.3640277775
461,0.40275
462,0.3563055555
463,0.14777777775
464,0.421611111
465,0.35277777774999997
466,0.2519444445
467,0.33030555575
468,0.299611111
469,0.33802777775000004
470,0.18022222225
471,0.37213888875
472,0.34713888875
473,0.32938888925
474,0.27402777775
475,0.22705555524999999
476,0.3045
477,0.24288888900000002
478,0.25911111125
479,0.3430555555
480,0.364
481,0.2424444445
482,0.28477777775
483,0.32866666675
484,0.36713888875
485,0.27411111125
486,0.2661666665
487,0.2759166665
488,0.23811111125
489,0.31991666674999997
490,0.2595277775
491,0.572611111
492,0.248277778
493,0.259611111
494,0.22911111125
495,0.226611111
496,0.2815833335
497,0.248888889
498,0.42375000025
499,0.29183333325
500,0.248
501,0.21966666675000002
502,0.22863888875
503,0.33430555575
504,0.297777778
505,0.20883333325
506,0.38966666675
